	Sample_1	Sample_2
A1BG-AS1	1.914880608	1.875521105
A2M	6.157023462	5.492393311
A2M-AS1	4.711023549	3.083014252
A2ML1	0.718948102	0.416596981
A2ML1-AS1	1.831723348	1.526051067
A2MP1	0.469293956	0
A4GALT	3.812581762	0.72136801
AAAS	3.277799356	2.870642679
AACS	1.432881677	1.376384091
AADAC	0.861671781	0.645222442
AADAT	2.345379614	1.719588032
AAGAB	2.617720844	3.136403613
AAK1	1.664452199	1.574578996
AAMDC	2.648554136	2.153306707
AAMP	4.45901003	4.089102559
AAR2	2.752931827	2.399957754
AARS1	3.482509707	3.072612021
AARS2	2.537776579	2.497055649
AARSD1	0.933556965	0.541663739
AASDH	1.65911945	1.924014498
AASDHPPT	2.481922711	2.791331899
AASS	2.002505379	1.438413467
AATBC	0.604148367	3.908073744
AATF	2.359989035	2.133934062
AATK	2.016001343	2.035630141
ABALON	3.175368133	4.077350452
ABAT	1.349880413	3.10487274
ABCA1	2.219181256	4.289393042
ABCA10	0.498980533	0.275201758
ABCA11P	1.208687243	0
ABCA12	0.84152587	1.219328827
ABCA13	0	0.060191452
ABCA17P	0.260025965	0.022252287
ABCA2	3.091091411	2.331600411
ABCA3	1.904778117	1.351245593
ABCA4	1.562095255	0.188708375
ABCA5	1.474785128	1.389523748
ABCA6	0.488795988	0.127361207
ABCA7	2.922756181	2.368927445
ABCA8	0.638041309	0.845233585
ABCA9	0.422252612	0.1376143
ABCA9-AS1	0.089177517	0.401950092
ABCB1	1.075863378	1.052840008
ABCB10	2.458208978	2.869971067
ABCB4	0.840371529	0.746788789
ABCB6	0.496510011	0.25013623
ABCB7	2.200878524	2.298850349
ABCB8	2.614912373	2.024926983
ABCB9	2.346894422	2.390289994
ABCC1	2.171745715	2.67734099
ABCC10	2.260419474	2.274722293
ABCC11	0.16646288	0.774853995
ABCC2	0.645770278	0.140633709
ABCC3	3.241340317	3.186373411
ABCC4	1.299215771	1.47247502
ABCC5	2.794944814	2.741664545
ABCC6	0.67749209	0.442605369
ABCC8	0.283265402	0
ABCC9	2.003203286	0.496552682
